ctgdct_col,opacgp_col,ossklh_col,wtekhf_col,tcjjig_col,bldxch_col,qxjebr_col,uzwwjl_col
8382,2415,QS3E9n7re,jAulA3QMr2qE,北京,6783,1370,oa9b
上海,696.43,9731,广州,深圳,上海,深圳,dxAqg
9039,9.47,FtywiPu3F,769.06,杭州,499.41,710.94,441.39
fzB29c8d,874.28,杭州,北京,6wA,qNfezsS2G,杭州,616.9
114.49,601.34,北京,543.22,NR64gfZfb,深圳,axnr2qZXz,820.21
9468,837.5,北京,187.37,HpWWVO,1g5hiqle04mg,Qxt4Yl,6.01
lbbF,953.28,793.36,X7E2A,xmv3YB37pzL2,YAlpn,7625,7131
9854,北京,493.84,989.58,688.23,深圳,4597,qsfI
188.73,2524,278.56,1378,广州,6629,杭州,666.37
lqe,广州,T9pEwavS3W,578.01,8928,4vuK6rl,8572,306.52
8225,北京,2840,深圳,深圳,512.69,杭州,334.15
DudTPTdmiTEn,56.6,2397,广州,7283,656.26,576.46,1108
PEQu,北京,深圳,nUAGWfb,杭州,499.21,n65,8eJ05
RgD4qbuquVi,EXILZY,上海,2052,3173,751,717,上海
广州,Ee40GsIhSWco,Ecr,0xbxBnx,V64UuZqUnbS,132.74,fpHuyMw,tOZ0
180.62,hNjMdhcQ1J,8a00Hco,广州,511.29,上海,3983,深圳
666.24,vhzFjE2,hqI5U,5806,深圳,深圳,580.25,575.56
885.46,488.88,北京,327.79,932.44,2243,DElEiNf,530.93
97.44,深圳,广州,3626,北京,1040,H9ZySrkx,0UG
深圳,6806,TXmL,561.44,Fx9T6VSCJbV,深圳,上海,E7oCDITT5Ae
杭州,2719,上海,9aRm,MKe,6608,杭州,J0L7TM4m
深圳,杭州,6949,503.29,ONy,2510,314.92,905.82
杭州,N06tI,4043,177.93,6319,258.96,140.68,7791
474.1,广州,309.96,yCOmktl1BS,上海,9609,wvZLU4,7876
yGgXv,423.03,上海,北京,w3QpusYHlw,杭州,382.53,965.19
275.51,PL4QqzbziqL,929.94,tZj0EGky,杭州,2024,6572,深圳
深圳,杭州,6379,4015,8FgLu,北京,2HSL9SB,9500
752.75,289.14,ws6jNDBsURjs,8468,NKFGx5O1,广州,JNaUYW3Twc,4063
3114,smpVDg2dWeD,广州,上海,179.62,2993,571.44,深圳
深圳,209.4,4489,杭州,gNr,328.51,3520,831.84
790.35,752.16,889.51,5282,PuCPVJv21jVm,上海,上海,Bym
740.9,961.61,876.07,802.58,404.25,tWu3c24cxLGj,5103,3594
227.0,SCKG9q3u,7878,z9CqBUOFu9lv,1821,tB9f1Fy6,8736,424.59
深圳,1095,深圳,11.76,北京,523.32,842.48,杭州
G5xLKX7JhVwP,7075,446.56,844.88,上海,2762,146.62,3684
深圳,707.04,4046,5137,8146,IId,上海,980.2
8dU,杭州,402.03,vUGb,6142,EH8gQjxkB0VF,广州,ZW6Pepi7EXc
深圳,904,tK3H,8811,256,5420,广州,816.91
广州,1418,6359,5209,8284,北京,HMk5wigoxIY,上海
698,5535,上海,51.83,2554,zD1i5,332.18,339.28
562.1,6242,上海,86J,961.61,418.32,广州,734.91
6956,SIEq44fP,Xgexj,157.09,Ldi4,706.57,3065,NKLFrAZTG
dvT,678.52,广州,广州,yaXPk,497.83,7811,4619
634.24,vXR37WJ4RLY,4359,562.32,523.98,XAYaqi,上海,kh7h1Iw
上海,92.77,上海,上海,广州,bVEPRIcKm,257.02,北京
833.1,上海,SCyU5DKXP,1,dnlA,北京,北京,深圳
4380,9158,545.05,HtNzJx8VjP3,5598,104.71,广州,oNjR
510,11.56,ymAKDMcE,R1xHgQM,7450,上海,174.74,1259
772.69,1903,67.87,446.66,qeWlzIojiRa,PKa2i51XlDD,上海,6123
242.1,650.52,L41DEU0KIQL,5312,2282,4048,xyS5Cvpehx,567.89
476.89,ihV9,4657,954.52,杭州,深圳,207.92,北京
9593,8wV,Rde5Cs1r4otG,1104,北京,广州,广州,杭州
