tjvvgw_col,xwqsda_col,jleqoh_col,vnkwqg_col,wgujoy_col,umaffs_col
TwJ,v5jeqTyFym2L,L1cQ,5444,3.31,189.44
239.22,144.33,8056,sWECvjGMA,475.95,lq8
558.16,9206,209.93,4423,267.32,519.27
8765,北京,998,fJ9SR9,3461,8477
299.26,pwWtV6ZJLu,bBj3T,540.07,A6B9RHeT,q5N4855P
303.92,dNbepW7wGad,8774,zr3KirAt,557.32,7934
北京,5988,864.08,93.22,广州,46.24
广州,2682,421.04,深圳,qwB0,8819
深圳,3536,9099,264.94,深圳,7713
cyeADdMi,860.6,rIfxJvLhNk0A,563.32,886.73,2938
47.54,8373,上海,杭州,北京,上海
B5syXtem,3691,dcRePCJf6w,上海,4742,Z8Mj
杭州,d4tf6pHcr,7vf,深圳,757.36,北京
499.72,746.85,848.2,广州,665.62,北京
北京,tbEa,507.4,553.68,1qaNXgj7UMHm,QgQcKYYQMVK
上海,U1Hj,2kcOSCoxu,5689,178.61,北京
XCm7OI4YHm3,广州,杭州,xJ0,946,897.21
5334,189.34,eXIDVWawm1,6123,893.4,oCLc6Plmd8
深圳,rls8vQfsTt88,杭州,WoPcmrYnY,广州,深圳
北京,fXK,3083,上海,杭州,551.43
深圳,上海,广州,270.83,pZEHBSc,杭州
P0vh3PsqIAC,上海,上海,1298,北京,北京
8503,9010,广州,北京,763.02,285.16
上海,5641,上海,RsWoW8KtQG,7878,572.73
503.26,568.31,287.53,SCb,KLsuBU,79.65
上海,广州,657,805.73,上海,9885
1158,杭州,335,351.68,上海,4702
5701,杭州,3318,895.8,Ohbl,796.4
上海,上海,4866,1601,nZam2sHaEG,Xxvdg0AhLn0C
C0NQ,杭州,6418,814.56,h90,1084
5343,OxJNDH,304.56,上海,深圳,北京
711.98,9149,5673,深圳,dusQAkMUTq,GahOvz
3356,深圳,6kamnbAq,广州,广州,北京
广州,5U0HRATf99,杭州,广州,771.84,KQxnd
北京,8GTaR,广州,tcKMe,3348,2201
1SEEz1Wn6,958.6,hhVcY,gjxMBy,868.79,HfetYbn1hv1
北京,Olun1kmOeP7k,633.14,736.09,974.16,7261
8Df0uNA,605.41,baXsyQEcSAo,867.38,1rkggOLik,深圳
杭州,杭州,285.02,杭州,udsJw77,SvD8A4iBi
北京,3313,UBllbJs,y8Bc,杭州,376.65
4061,764.95,G1tual,深圳,深圳,458.74
深圳,413.74,571.4,6508,2624,287.96
深圳,6842,上海,9903,北京,751.3
