rbwwit_col,lucfce_col,cinfec_col,tyhgie_col,hamzkq_col,nihtli_col
7478,421.02,yHmlhVFjO,6008,5951,7651
杭州,上海,2682PFGxPW,D8ziemVu,杭州,AW5pZYWgaVv
9YuQ,深圳,7588,52.44,8t0wQpQnIo,9838
6996,399.83,553.84,2291,987.73,1773
884,8348,219.05,78.08,2446,841.81
6803,5199,7803,vZEejsgaoW,p853St7cOZ,杭州
179.6,ikHoSx,182.17,上海,5575,广州
278.77,212.52,2922,2315,uhrDzC9,2009
上海,5546,491.71,pHNbPNf,6kn6T9Ce177,上海
434.84,FMyL,上海,gq16FK,2827,广州
3810,2681,cKQYi7e,Cfark7Enet,MeqGbdU2fo,4eT3ZVJ
jV6qpBArxG52,4NUm46MB,8371,9508,广州,7576
7662,6597,广州,KXF388W6KYu,685.3,广州
hRUjLNZxpA,8069,北京,北京,367,9Kyt
广州,wuYlpm9w,20.06,广州,7863,9568
6204,979.27,3918,hKn2AEWgR,FUVab,n5OkwzJEyQJ
6117,深圳,8819,广州,7091,FevgviGEY
北京,lvkphsqH,北京,广州,rp7Av,8229
9722,QEfdj1KK,598.09,7065,sI1DN,162.49
6flO,7KS,755.08,335.88,1368,957.71
杭州,113.31,1966,165.46,jvq5Zt,270.45
8863,59lyKV,RBaIJb,xgJ,418,5444
杭州,8606,深圳,62.04,BzElp2HXBPXf,956.88
杭州,486.58,l7oZVDK,7171,6856,1104
9025,深圳,1271,4238,1035,mif
aF1fR3ZuqY,469.69,上海,7281,92.47,杭州
7241,ADN,588,535.31,2976,深圳
873.67,35.03,536.33,上海,1398,yry6iTvqT6
杭州,9821,638.92,广州,1170,广州
55,8238,917,3037,6617,4811
162.63,915.8,120.4,810.66,6420,FWJ7JXZNISz
530.71,上海,896.2,77,广州,759.64
523.98,5152,763.56,6047,4064,572.04
812.43,2832,广州,386.78,yBM5aWk,5897
上海,广州,2117,7bQ,NTIMANmLj,495.39
255.04,6kPn7hFTA1y,3225,345.39,8068,OM1mn
深圳,7UxV7w,247.4,7513,5787,113.23
QC2DwczS,6REE3TFoY8,480.34,191.18,796.2,上海
深圳,杭州,440.91,2875,6101,深圳
广州,杭州,深圳,yboZa5,3875,8442
7270,杭州,3131,9237,551,131.4
1628,cpc,7643,875.68,nz3H,350.92
4752,9968,上海,x2QJw,11.92,zHyl
634.78,747.71,8qlh,杭州,546,541.58
杭州,9Ft3KP95,764.95,广州,广州,jC45v6xy
h9KbIpog,8442,8376,X7ka6yAmEBR,北京,aSZXtMR3y87
1LsVv,7wC98jD7,116.46,5300,深圳,453.08
8655,33.1,263.29,773.96,568.03,北京
pUA0,rHL,rAsv6R6GYlM,北京,947.04,7916
877.78,6467,856.98,pD56pdLus,217.16,北京
杭州,693.43,深圳,Lil0fxM,深圳,3344
上海,9sYX14KeP,5112,GzMCbygS6,北京,上海
418.04,广州,北京,807.1,广州,杭州
杭州,450.13,904.74,5395,深圳,深圳
NeZ07lz,875.5,广州,上海,879.9,kW03P
杭州,2053,mxJNl2FT5ML,9773,6555,YLgqgFsXCUP
深圳,5992,sLAuuG,230.91,509.74,0grK5
7158,4113,556.55,806.21,834.84,1911
9332,广州,深圳,上海,5474,162.54
514.95,231.59,BunmoyeLIhTp,S2Xri86l,4668,6191
UnmRPh4iO,广州,6TEcUkmVZJ5n,2536,北京,6742
上海,广州,12.68,743.52,上海,97
807.57,上海,北京,杭州,3064,sVE
dSG6vKl,909.52,475.25,559.35,233.7,北京
874,3683,广州,Smoqa3c,663.91,741.37
4868,1629,904.68,aYW,上海,mEuY6Hgl
5475,980.9,2623,73.58,EO5EML0,we8wOapw
516.98,oE7gq5,HXX,253.1,5516,653.29
7124,Bd7kGVUDtq2,xvulw,FFO,47.09,826.95
95.84,BXpd1tv,7375,361.28,767.75,7993
499.55,282.07,62,广州,6778,649.59
7478,yXqJOdyc9K,上海,GBuP5vQYMns3,sMqUVKK0y90g,3780
4518,杭州,4kze,深圳,深圳,8921
365.98,26.81,jUiq2QYKzS,zcoSTc54J,2143,5509
j2bw,6382,6075,8Pl,北京,JThJn0epJEOn
618.27,5585,165.82,广州,1098,5159
RfMg2,rjTC7,qoNmcV4Gq1,J4YqoVxSa,5275,615.17
广州,Wwy4fGd9z,广州,DIuBgqh6i,广州,387.6
866.44,571.51,vNg,8241,深圳,vIJ
