onjrlw_col,owafpq_col,qosrim_col,omoqct_col,lsecsw_col,dghdcz_col,rftifp_col,wgyasg_col
7700,920.0,Ile6xrv8uj,525,8809,iyOCW0kpUl,7JYI6,上海
132.75,114.82,8936,719.5,187.48,上海,广州,5618
广州,北京,Q4IqeVzAm800,612.4,826.12,北京,KsrY,665.56
2951,2036,广州,CtxJL2txke,ldUeoVO,8437,0pK4XBJLS,2TuH
8409,Nv9t,692.87,713.99,YGoHdnK,深圳,上海,neGq3nu
617.76,n4iWBmBIwS,上海,krLfis67oZV,909.61,521.16,杭州,5LPoLNff61
WYo5FOwizvi,广州,9383,上海,杭州,901.99,443.19,BLzhXVaRB86p
314.25,北京,EhF,396.89,13.89,4463,上海,508.22
788.67,上海,oUts,6934,hYXL,747.28,1435,7Gdy
北京,790.71,广州,451.51,上海,493.85,深圳,深圳
8307,ejqw315cYqf,wPVfA,704.33,746.8,北京,P7c,DI2qjxh
ToAF1zLg,130.08,广州,880.49,eHCEaYqr,538.43,kl59y,3545
GPXPVnH,Wso,深圳,上海,pHhdahUU,8406,杭州,上海
Cn7iha9EUI,深圳,leD,4508,H8PB,上海,577,4415
深圳,45.87,jG0SzFaml,153.2,POKFQMzhR7K,qOeZOu9w,0FLDPUH6VA,vnIo99
bZJ,GNpT5y7M8n3d,7772,O27Ijrk,广州,9973,1146,sMWjEPiP9ajb
GAtoNmLcbkLS,7642,dLz,803.98,716.85,深圳,851.72,深圳
166.81,183.52,3HDe1OtpHi3,48.16,557GGNzwH,杭州,8396,广州
广州,杭州,LXvbDHoJZOO,2773,2J928BaPRUE,杭州,402.66,NnL76
4292,765.76,杭州,GtZ,gqtVPpd6H,杭州,484.7,287.06
广州,上海,Zq1,上海,852.05,72.81,8965,5818
683.79,3aEh,杭州,119.03,4429,686.17,7432,208.74
8139,iNqp,VOxOqJFUb,上海,3890,6242,9832,nVeszDxEEWY
513.75,1688,2716,344.95,深圳,d1ZO7pkG,广州,上海
上海,L3UX73ieF1E,y0FxbkAr,OyeE,北京,366.19,696.56,aUMMZCLUve
QpcauWP1IXS,ZG0vOy2fXZ,深圳,6131,592.74,jHlBAXie,8671,杭州
6852,广州,广州,822.74,02yrdl,深圳,TB6WW,2709
613.5,989.27,u5xR0ED,19.97,760.87,1209,801.94,379.23
5605,深圳,237.81,4724,3035,868.81,1757,Vt9Ga
XGBtevSwIV,pulFCwrjH0,fj0PVxIKtvx,PZlg,95.79,7280,441.17,4911
fJKLqfp6yH,872.63,深圳,oab,杭州,D9Fy,HN6Se4R,QWP2F2eYB2
Usp8ozXbR,深圳,3N0w2p7u,cj8wtw3281Ej,上海,317.74,0aFIMCnLjy,北京
M4KG,BSWxyd1b8FsC,DncK9wQq,760,myjI37SbVmpB,6950,407.32,1350
8303,905.99,835.48,152.93,4195,ZCsG1IO0ID,rHyeuS1ZE,avsonwJ0M4OW
L7VxFTnh,rxxXPpT7E,深圳,G6rCRV,广州,LDtHPHYL,sWPLk,深圳
深圳,上海,7776,ryYL,784.92,3jGFOEiuGx,1775,84.37
7891,mTF,1870,9963,521.01,8239,bLM72sqQ,417.04
tvFv6gbUVq,879.83,897.54,lNdN,北京,364.9,上海,7195
vXZqLl,LmVs,1270,6697,上海,PXMULWdh,北京,9026
1709,BqjXD,1301,3531,Mm5Ak1,深圳,TTb27,上海
TIHzHPH9,436.53,杭州,CWZNg,7995,4041,761.78,497.7
53.1,上海,9840,深圳,hIjW5Z,Pbjc5dCi,广州,wGgZ3gNDW
北京,8946,广州,s07OsmurHJ,yu2HJWrVD6M,7914,北京,北京
深圳,zolr,5855,杭州,VfsZTHqOiYU,19.31,FKSSYz,北京
451.75,6387,8945,9952,深圳,5562,深圳,761w39Hm
上海,J9T,3586,wQ6xRZYLOi33,770.78,1467,深圳,335.86
杭州,4073,kSmlcNfQ,深圳,809.6,olez4,749.13,10.65
5614,12.41,广州,l9G06W,2741,JFz8VcRJ,66.81,8440
YZNF0x,772.07,深圳,dpPUoAJuy3J,37.32,DqdfepJSa2X,xHWTAKQhBSxo,5496
scZtLt9yQzw,nRaz,2142,4415,5117,上海,45.12,深圳
8459,MmfxDub,mWFMxC5oUUEJ,274.5,深圳,广州,6870,4458
4472,8703,深圳,c3bDZSYQ,14.39,330.59,VyDMqojF6eT,5631
1246,QMwOT1qzvvEE,988.77,北京,263,4823,8425,2092
562.02,上海,176.84,广州,geP,北京,llzTeq,北京
Otjh,2972,广州,kZlVHAg5u,53.19,893.38,7347,340.38
JBZos9xvY,杭州,985.63,274.29,北京,jHuy2M,3386,4488
VLnDNz9,641.7,355.5,20.27,910.22,wltp9h4ndWT1,556.3,深圳
Gtj0HN,105.71,7889,北京,Iob0,9938,974,Kgn07uUs
3727,bpTHqVRnRE,401.32,DUm,jIsHx6Une,杭州,613.42,北京
993.84,北京,530.42,XzXsZIA,1408,71.87,h9G,773.44
GPQq,PO8JngNf4Y,zLUHu2qQ,1577,308.87,800.08,1NL5CbAWT7d,6485
996.93,上海,杭州,240.71,dqMCYA,21.73,2639,2926
64.21,深圳,广州,486.87,北京,4426,6914,4181
3568,杭州,3Q9M5p2GwnA,7323,7647,杭州,9977,ZLMp
377.74,广州,182.58,gWb7rLa,sCG5gsCwnKPw,56,广州,广州
472.57,ThgrCY7tLTK,434.84,KzfYw2G,OKW,7rbxs,K5g0Dpde,43Gmn1Fm6
IANfBh,8244,RO0pJH,深圳,bza,北京,919,杭州
672.28,686.29,6Fai,2454,4146,上海,g1H,692.05
杭州,LSJ,0O1,u2rr,IEoKMKC,TFZhY,463.83,北京
387.91,600,广州,255.56,杭州,778.76,978.31,3212
广州,99uGxg3Gtf73,415.11,杭州,Z6dAXrC,8819,rxr2JODphdz,9818
7342,7890,473.06,l6F,7644,565.74,faEFGUV,117.66
kdMsiPb,上海,7016,北京,568.9,5GDgk,5557,225.65
5148,81.48,T0TNPle,5492,5LXILyyUI,上海,9215,深圳
上海,杭州,Kg7cg1h0m,LhbwwbuV,PbIJIki,zvs,44.66,上海
607.86,上海,142.67,ZJgZ2iw,3899,qViyijJI56,2382,rMgr
165.33,上海,blq,634f,广州,95.5,6576,406.68
3716,4854,624,4714,北京,SJ12dV4LP,4979,147
