tjfsis_col,hrhndj_col,sjaumq_col,cesoux_col,gmdtmb_col,dlpngx_col
广州,Ihh,上海,yYh,Iagk8Hw,8629
上海,北京,877.52,NlJauwJoVqSl,9YRJZJmm,杭州
北京,2481,982.89,hM2XOuv,KghpG9ydO,800.78
杭州,291.43,OKUzIo,4052,8696,4126
1972,AxQ,311.55,mE8,7131,北京
tmZA,8787,sPYw2n,Dh3b,392.18,9049
北京,北京,1179,458.67,5420,75.63
LK5uv9LbrU,476.68,6254,7695,291.6,6638
广州,548.96,7943,576.44,768.99,bYHdskh
509.4,505.97,545.88,1508,9738,上海
VlR4jK,5Fxpkad6Qgy,北京,8654,广州,373.51
7ntO98,834.46,684,843.74,8896,6306
F3EpIbrFH,565.54,ZTooC3q8A3,815.76,t3b1k,120.1
上海,杭州,385.56,749.57,XcrI,北京
422.7,6693,深圳,杭州,1421,73.76
435.94,7174,2723,592,1583,杭州
51.7,上海,8280,上海,419,51.91
ZtB,9906,okT,深圳,PLnlX0czH,578.56
bxrJJt,54.28,CRL2,深圳,广州,gOEkNrM2yk
fUG,RFQiM0dBKnx8,202.05,162.34,246.39,广州
jNZh2cTwrvhU,fb8nGGZ5kmB,Pei7yl,广州,126.43,I75v7mHiRb09
429.6,Rp9Rvk9uPwO,2818,305.7,深圳,N2otMmxo
1239,广州,499.63,Iejc,5878,广州
6014,8759,ymPKvGH6Vi,430.63,3900,4176
2214,849.61,850.0,807.82,上海,1942
8708,广州,3441,广州,358,553.26
深圳,7871,1FfO7zR7PAAm,605.65,3260,472.84
北京,广州,Arp4FA,上海,402.31,700.1
上海,Q9yJxE7eK,4574,69.67,8432,eg22
513,深圳,mmVcGRFe,516.02,广州,758.59
blo7j7lYtl,tLuVOCn5fyJS,121.41,北京,JcgtAP,1640
北京,深圳,北京,6716,cpg,dhaQvFs2q
北京,352.7,上海,2585,杭州,569.85
8331,广州,上海,218.85,北京,2669
6161,北京,670.66,4650,858.46,398
344.49,W3QQ4DdGBfq,903.83,3042,8655,5442
333,6741,628.15,398.44,FFXfYAj,广州
广州,杭州,YsMvXcpu,广州,G1oxIrppI72v,1498
80.38,wqTpFkNSnfJL,4hsMMdD,473.06,GVX,5439
1010,Gzftg5Vuwh1,6008,161.17,491.48,1869
1988,6283,北京,59.39,北京,594.13
7950,FNjawwejG,535.3,3462,WDh1aQI,161.55
深圳,LnrhuHOs5gj1,5109,9BDEjw,17EgmUZpG,41.83
上海,qarnVncm,广州,skd,0Til,7025
北京,ezvqq7BuyMSL,上海,深圳,杭州,107.83
杭州,深圳,21.07,461,杭州,6910
pREeZ2Mh,7689,深圳,6470,290.63,上海
广州,7062,1551,1956,7771,LYLjVQaIsBy
深圳,深圳,rp0QmUr6,534.02,6342,4085
843.41,303.49,1228,pgz30db9iwFv,VKuZ,7699
h5pdgj6Xft,19.45,北京,k2Hf,458.95,9002
906.25,942,2088,北京,4227,AMwr3W8fR0z
605.17,北京,613.98,rhH4,308,5460
7790,6327,5994,Vgtv2i1NHVd,kEkw4JPQ,4749
杭州,e0OVlVXpfdh,上海,6SUAJo5M2zJ,Bh28,620.5
2921,702.25,277,JeE,436.15,510.71
PwfJh,95,fGsDMfHpIFC,954.85,2567,4597
7584,886.28,383.56,865.03,6248,09JPgcYB
北京,510.96,RNoy,RYF2kHAek0,544.16,24
2008,8580,7R6a,广州,JkwXHXVWeK,3449
nyeBNPFZB,9293,1005,392.62,631.95,383.58
6Hj5aBvMvj,263.32,杭州,广州,NRE7u,广州
608.92,7300,937.2,749,北京,北京
深圳,8836,北京,OoLerOqj,o4pH0jBT,5642
7300,772.53,446.57,8220,9839,guKYtzPpMru
5e9V3F,北京,168.24,广州,北京,杭州
北京,上海,957.54,788.02,541.76,F8YknaUQxREz
6314,上海,杭州,3817,866.59,北京
杭州,NLoal0SLUKR6,3298,sZAksuF,918,杭州
7280,238.53,ucD9Q,上海,161.71,687.52
tMi0580,928.14,广州,杭州,广州,158.0
167.7,杭州,上海,278.09,890.14,Lus
j3EQEsVIfj,446.22,上海,深圳,445.41,北京
ODUIqbBo,杭州,715,395.37,2921,836.85
5881,广州,上海,67lPQFDaztHH,242.08,717.54
413.89,118.21,4NSV7,9543,8146,9532
kfE6NqQUuvhl,1867,EQN7,上海,北京,9005
深圳,上海,杭州,vuVB,46.9,827.86
7396,深圳,杭州,550.01,北京,杭州
692.18,9593,GEkK2Zaz,M7etPQ2,648.3,上海
2497,467.56,135.05,2458,上海,杭州
上海,6123,572.08,D9c6yTOIuY,北京,广州
北京,39.7,MnAIYLYRt,5778,gkRAHw,713.95
794.45,9949,北京,NHBVMSNX6E,4469,4534
广州,252.32,北京,SQj,503.27,34z
1159,广州,4268,深圳,4646,9711
659.06,6717,杭州,杭州,NfssUdS6I,569.62
TyJg6geDPY,5037,上海,723.84,上海,288.72
5321,广州,TVgcakG,WJuMOf03pD6y,广州,北京
75.88,广州,1951,8581,广州,上海
795.83,775.25,广州,2382,uS4rnGvoMdm,AvmkT5ub6g
948.66,ZwT,深圳,3063,北京,2893
308.41,北京,861,LOsZEia3C2,北京,ONrW9vB8
上海,VJPP,2274,北京,北京,810
Hw0sK,bFv9ZV4,深圳,qII,ndL,4172
