促销ID,促销名称,促销类型,产品ID,开始日期,结束日期,折扣,最小购买数量
38,折扣活动38,折扣,4,2025-10-18,2025-10-24,0.72,
39,折扣活动39,折扣,1,2025-10-09,2025-10-21,0.85,
40,满减活动40,满减,1,2025-09-20,2025-09-24,38.32,462.17
41,满减活动41,满减,28,2025-09-20,2025-09-28,61.13,211.39
42,折扣活动42,折扣,16,2025-10-23,2025-10-29,0.88,
43,限时特价活动43,限时特价,29,2025-08-21,2025-09-02,,
44,限时特价活动44,限时特价,8,2025-08-10,2025-08-25,,
45,折扣活动45,折扣,26,2025-10-25,2025-11-03,0.72,
46,买一赠一活动46,买一赠一,22,2025-09-30,2025-10-09,,
47,限时特价活动47,限时特价,14,2025-09-02,2025-09-11,,
48,满减活动48,满减,28,2025-08-25,2025-09-08,73.87,493.67
49,限时特价活动49,限时特价,4,2025-08-21,2025-08-24,,
50,满减活动50,满减,24,2025-08-14,2025-08-22,39.89,176.08
51,限时特价活动51,限时特价,15,2025-10-25,2025-10-30,,
52,限时特价活动52,限时特价,6,2025-10-15,2025-10-22,,
53,限时特价活动53,限时特价,8,2025-09-10,2025-09-14,,
54,满减活动54,满减,26,2025-08-17,2025-08-28,24.05,499.71
55,满减活动55,满减,27,2025-09-08,2025-09-11,94.11,439.48
56,限时特价活动56,限时特价,6,2025-10-18,2025-10-27,,
57,限时特价活动57,限时特价,16,2025-10-24,2025-10-30,,
58,折扣活动58,折扣,29,2025-09-03,2025-09-06,0.79,
59,限时特价活动59,限时特价,13,2025-09-04,2025-09-11,,
60,限时特价活动60,限时特价,10,2025-08-24,2025-09-02,,
61,买一赠一活动61,买一赠一,5,2025-10-05,2025-10-11,,
62,满减活动62,满减,7,2025-10-17,2025-10-20,79.84,122.87
63,折扣活动63,折扣,19,2025-09-01,2025-09-11,0.71,
64,折扣活动64,折扣,17,2025-09-03,2025-09-07,0.72,
65,折扣活动65,折扣,3,2025-09-06,2025-09-19,0.8,
66,折扣活动66,折扣,29,2025-10-08,2025-10-20,0.84,
67,满减活动67,满减,2,2025-10-16,2025-10-28,53.54,333.47
68,买一赠一活动68,买一赠一,17,2025-08-21,2025-08-29,,
69,买一赠一活动69,买一赠一,7,2025-10-17,2025-10-30,,
70,限时特价活动70,限时特价,8,2025-08-29,2025-09-05,,
71,买一赠一活动71,买一赠一,5,2025-10-27,2025-11-09,,
72,满减活动72,满减,15,2025-10-20,2025-10-28,20.75,348.46
73,满减活动73,满减,19,2025-10-03,2025-10-07,63.01,302.35
74,满减活动74,满减,5,2025-09-23,2025-10-01,90.34,247.81
75,买一赠一活动75,买一赠一,6,2025-09-14,2025-09-24,,
76,满减活动76,满减,20,2025-09-08,2025-09-23,73.43,321.84
77,满减活动77,满减,30,2025-09-20,2025-10-03,95.11,153.72
78,折扣活动78,折扣,4,2025-09-19,2025-09-23,0.77,
79,买一赠一活动79,买一赠一,20,2025-09-28,2025-10-04,,
80,买一赠一活动80,买一赠一,7,2025-09-25,2025-10-08,,
81,买一赠一活动81,买一赠一,17,2025-09-20,2025-09-30,,
82,满减活动82,满减,29,2025-08-06,2025-08-09,70.74,431.74
83,买一赠一活动83,买一赠一,2,2025-08-10,2025-08-13,,
84,买一赠一活动84,买一赠一,25,2025-08-30,2025-09-04,,
85,限时特价活动85,限时特价,6,2025-09-24,2025-10-08,,
86,限时特价活动86,限时特价,18,2025-09-19,2025-10-03,,
87,满减活动87,满减,18,2025-09-01,2025-09-04,26.02,453.24
88,满减活动88,满减,29,2025-09-07,2025-09-12,86.77,333.0
89,折扣活动89,折扣,5,2025-08-25,2025-09-03,0.71,
90,满减活动90,满减,12,2025-10-16,2025-10-31,91.91,184.03
91,满减活动91,满减,8,2025-08-09,2025-08-22,48.29,323.95
92,折扣活动92,折扣,28,2025-09-21,2025-09-30,0.93,
93,折扣活动93,折扣,8,2025-10-01,2025-10-06,0.92,
94,买一赠一活动94,买一赠一,1,2025-08-01,2025-08-06,,
95,折扣活动95,折扣,26,2025-08-04,2025-08-13,0.77,
96,满减活动96,满减,26,2025-10-25,2025-11-08,50.6,115.49
97,折扣活动97,折扣,16,2025-08-19,2025-08-25,0.9,
98,买一赠一活动98,买一赠一,15,2025-09-10,2025-09-18,,
99,折扣活动99,折扣,27,2025-09-18,2025-10-03,0.76,
100,限时特价活动100,限时特价,22,2025-10-06,2025-10-12,,
101,满减活动101,满减,11,2025-08-23,2025-08-30,97.35,211.65
102,限时特价活动102,限时特价,21,2025-08-23,2025-09-03,,
103,买一赠一活动103,买一赠一,22,2025-09-03,2025-09-14,,
104,买一赠一活动104,买一赠一,1,2025-09-04,2025-09-08,,
105,买一赠一活动105,买一赠一,6,2025-08-29,2025-09-10,,
106,限时特价活动106,限时特价,2,2025-10-10,2025-10-14,,
107,买一赠一活动107,买一赠一,12,2025-09-02,2025-09-16,,
108,满减活动108,满减,14,2025-08-17,2025-08-29,50.82,330.64
109,限时特价活动109,限时特价,9,2025-09-14,2025-09-17,,
110,折扣活动110,折扣,1,2025-09-16,2025-09-27,0.79,
111,买一赠一活动111,买一赠一,3,2025-09-20,2025-10-03,,
112,满减活动112,满减,20,2025-07-30,2025-08-07,77.58,220.13
113,限时特价活动113,限时特价,10,2025-09-08,2025-09-21,,
114,买一赠一活动114,买一赠一,11,2025-09-08,2025-09-17,,
115,折扣活动115,折扣,18,2025-09-15,2025-09-20,0.81,
116,折扣活动116,折扣,13,2025-09-22,2025-10-05,0.85,
117,满减活动117,满减,10,2025-08-05,2025-08-14,44.31,184.07
118,买一赠一活动118,买一赠一,26,2025-09-10,2025-09-22,,
119,限时特价活动119,限时特价,15,2025-10-09,2025-10-19,,
120,限时特价活动120,限时特价,22,2025-10-18,2025-10-24,,
121,折扣活动121,折扣,26,2025-09-03,2025-09-18,0.86,
122,买一赠一活动122,买一赠一,10,2025-09-30,2025-10-11,,
123,折扣活动123,折扣,3,2025-08-28,2025-09-12,0.87,
124,折扣活动124,折扣,8,2025-09-06,2025-09-21,0.74,
125,限时特价活动125,限时特价,2,2025-08-02,2025-08-08,,
126,满减活动126,满减,20,2025-08-02,2025-08-17,56.43,454.45
127,限时特价活动127,限时特价,19,2025-08-13,2025-08-19,,
128,折扣活动128,折扣,16,2025-10-26,2025-11-04,0.74,
129,满减活动129,满减,23,2025-08-11,2025-08-14,82.27,187.54
130,限时特价活动130,限时特价,26,2025-09-18,2025-10-02,,
131,折扣活动131,折扣,2,2025-10-27,2025-11-07,0.93,
132,折扣活动132,折扣,4,2025-10-16,2025-10-26,0.9,
133,买一赠一活动133,买一赠一,22,2025-08-14,2025-08-25,,
134,限时特价活动134,限时特价,25,2025-10-01,2025-10-11,,
135,限时特价活动135,限时特价,27,2025-10-25,2025-11-05,,
136,限时特价活动136,限时特价,29,2025-10-25,2025-10-30,,
137,折扣活动137,折扣,15,2025-08-04,2025-08-11,0.91,
138,限时特价活动138,限时特价,9,2025-08-29,2025-09-13,,
139,买一赠一活动139,买一赠一,21,2025-10-14,2025-10-20,,
140,买一赠一活动140,买一赠一,15,2025-09-13,2025-09-17,,
141,买一赠一活动141,买一赠一,8,2025-08-07,2025-08-14,,
142,满减活动142,满减,11,2025-09-19,2025-09-30,31.07,192.5
143,折扣活动143,折扣,23,2025-08-03,2025-08-08,0.72,
144,限时特价活动144,限时特价,14,2025-09-15,2025-09-23,,
145,折扣活动145,折扣,14,2025-08-03,2025-08-06,0.91,
146,满减活动146,满减,13,2025-10-11,2025-10-26,88.54,406.24
147,满减活动147,满减,13,2025-08-24,2025-09-03,95.42,219.45
148,折扣活动148,折扣,13,2025-10-20,2025-10-29,0.82,
149,限时特价活动149,限时特价,9,2025-10-07,2025-10-16,,
150,买一赠一活动150,买一赠一,1,2025-09-28,2025-10-07,,
151,限时特价活动151,限时特价,22,2025-09-19,2025-10-02,,
152,限时特价活动152,限时特价,24,2025-08-28,2025-09-02,,
153,满减活动153,满减,30,2025-10-02,2025-10-07,92.55,336.76
154,满减活动154,满减,22,2025-10-24,2025-10-27,71.42,154.28
155,满减活动155,满减,15,2025-10-17,2025-10-22,40.81,230.94
156,买一赠一活动156,买一赠一,15,2025-08-02,2025-08-10,,
157,买一赠一活动157,买一赠一,25,2025-08-01,2025-08-10,,
158,买一赠一活动158,买一赠一,25,2025-10-22,2025-10-31,,
159,限时特价活动159,限时特价,27,2025-10-01,2025-10-05,,
160,满减活动160,满减,1,2025-08-27,2025-09-10,99.99,239.98
161,满减活动161,满减,21,2025-09-06,2025-09-10,80.34,479.84
162,折扣活动162,折扣,7,2025-10-15,2025-10-18,0.76,
163,满减活动163,满减,16,2025-08-02,2025-08-15,65.12,187.19
164,买一赠一活动164,买一赠一,23,2025-09-21,2025-09-28,,
165,满减活动165,满减,6,2025-08-05,2025-08-17,82.22,165.51
166,满减活动166,满减,10,2025-10-27,2025-10-31,94.31,330.32
167,限时特价活动167,限时特价,30,2025-09-27,2025-10-06,,
168,满减活动168,满减,23,2025-10-27,2025-11-02,67.37,432.23
169,买一赠一活动169,买一赠一,8,2025-08-27,2025-08-31,,
170,满减活动170,满减,28,2025-08-30,2025-09-12,83.7,326.37
171,限时特价活动171,限时特价,2,2025-10-02,2025-10-10,,
172,满减活动172,满减,22,2025-10-14,2025-10-22,60.48,236.49
173,限时特价活动173,限时特价,28,2025-08-04,2025-08-13,,
174,买一赠一活动174,买一赠一,4,2025-10-21,2025-10-30,,
175,折扣活动175,折扣,21,2025-10-25,2025-11-04,0.81,
176,买一赠一活动176,买一赠一,24,2025-10-07,2025-10-18,,
177,限时特价活动177,限时特价,20,2025-10-01,2025-10-16,,
178,买一赠一活动178,买一赠一,15,2025-09-28,2025-10-07,,
179,满减活动179,满减,11,2025-08-09,2025-08-15,42.31,280.32
180,限时特价活动180,限时特价,25,2025-10-26,2025-11-05,,
181,限时特价活动181,限时特价,11,2025-10-26,2025-10-29,,
182,折扣活动182,折扣,28,2025-08-13,2025-08-21,0.82,
183,买一赠一活动183,买一赠一,12,2025-08-20,2025-09-04,,
184,买一赠一活动184,买一赠一,11,2025-08-06,2025-08-13,,
185,折扣活动185,折扣,18,2025-08-26,2025-08-29,0.72,
186,限时特价活动186,限时特价,24,2025-10-02,2025-10-11,,
187,折扣活动187,折扣,18,2025-10-05,2025-10-20,0.87,
188,限时特价活动188,限时特价,21,2025-10-03,2025-10-17,,
189,满减活动189,满减,15,2025-10-16,2025-10-31,27.44,188.64
190,买一赠一活动190,买一赠一,23,2025-09-10,2025-09-16,,
191,买一赠一活动191,买一赠一,22,2025-10-22,2025-11-03,,
192,买一赠一活动192,买一赠一,16,2025-10-15,2025-10-26,,
193,买一赠一活动193,买一赠一,14,2025-10-16,2025-10-30,,
194,限时特价活动194,限时特价,12,2025-09-15,2025-09-29,,
195,买一赠一活动195,买一赠一,9,2025-09-09,2025-09-16,,
196,折扣活动196,折扣,8,2025-09-04,2025-09-08,0.78,
197,折扣活动197,折扣,24,2025-08-12,2025-08-23,0.75,
198,买一赠一活动198,买一赠一,24,2025-08-22,2025-09-01,,
199,买一赠一活动199,买一赠一,24,2025-09-18,2025-09-30,,
200,买一赠一活动200,买一赠一,4,2025-08-19,2025-08-25,,
201,折扣活动201,折扣,8,2025-08-27,2025-09-04,0.78,
202,折扣活动202,折扣,23,2025-10-16,2025-10-27,0.77,
203,买一赠一活动203,买一赠一,2,2025-09-16,2025-09-27,,
204,限时特价活动204,限时特价,23,2025-09-21,2025-09-26,,
205,买一赠一活动205,买一赠一,4,2025-08-22,2025-08-25,,
206,限时特价活动206,限时特价,16,2025-07-31,2025-08-10,,
207,满减活动207,满减,11,2025-09-15,2025-09-20,40.2,444.69
208,限时特价活动208,限时特价,4,2025-10-12,2025-10-16,,
209,满减活动209,满减,16,2025-08-08,2025-08-12,32.14,424.46
210,折扣活动210,折扣,10,2025-09-22,2025-09-26,0.73,
211,折扣活动211,折扣,25,2025-10-03,2025-10-12,0.89,
212,限时特价活动212,限时特价,13,2025-08-27,2025-09-06,,
213,限时特价活动213,限时特价,10,2025-09-25,2025-10-07,,
214,满减活动214,满减,10,2025-08-08,2025-08-20,68.77,396.04
215,折扣活动215,折扣,25,2025-09-16,2025-09-22,0.77,
216,折扣活动216,折扣,3,2025-08-01,2025-08-06,0.74,
217,满减活动217,满减,3,2025-09-27,2025-10-02,52.68,375.75
218,满减活动218,满减,16,2025-09-23,2025-09-30,38.52,382.78
219,满减活动219,满减,23,2025-09-10,2025-09-20,74.99,469.56
220,折扣活动220,折扣,26,2025-08-02,2025-08-17,0.81,
221,折扣活动221,折扣,18,2025-08-13,2025-08-19,0.93,
222,满减活动222,满减,27,2025-09-18,2025-09-23,24.77,417.05
223,买一赠一活动223,买一赠一,20,2025-10-18,2025-11-01,,
224,限时特价活动224,限时特价,15,2025-08-24,2025-08-28,,
225,限时特价活动225,限时特价,23,2025-08-06,2025-08-13,,
226,限时特价活动226,限时特价,9,2025-09-28,2025-10-09,,
227,满减活动227,满减,15,2025-10-22,2025-10-26,91.15,393.81
228,满减活动228,满减,20,2025-09-15,2025-09-22,27.31,484.76
229,满减活动229,满减,27,2025-10-09,2025-10-21,99.97,368.91
230,满减活动230,满减,9,2025-10-04,2025-10-16,81.05,170.08
231,限时特价活动231,限时特价,17,2025-10-07,2025-10-20,,
232,折扣活动232,折扣,30,2025-08-15,2025-08-22,0.95,
233,限时特价活动233,限时特价,14,2025-09-23,2025-10-06,,
234,买一赠一活动234,买一赠一,3,2025-09-17,2025-09-27,,
235,买一赠一活动235,买一赠一,14,2025-10-10,2025-10-18,,
236,折扣活动236,折扣,22,2025-09-08,2025-09-12,0.78,
237,买一赠一活动237,买一赠一,23,2025-10-06,2025-10-16,,
238,满减活动238,满减,22,2025-09-08,2025-09-17,56.39,225.81
239,限时特价活动239,限时特价,11,2025-08-29,2025-09-02,,
240,满减活动240,满减,28,2025-08-20,2025-08-31,72.61,317.04
241,折扣活动241,折扣,14,2025-09-23,2025-09-26,0.83,
242,限时特价活动242,限时特价,20,2025-08-31,2025-09-15,,
243,满减活动243,满减,21,2025-09-02,2025-09-12,36.28,319.69
244,限时特价活动244,限时特价,30,2025-08-21,2025-08-28,,
245,限时特价活动245,限时特价,29,2025-10-12,2025-10-26,,
246,折扣活动246,折扣,4,2025-10-12,2025-10-15,0.88,
247,满减活动247,满减,10,2025-08-18,2025-08-29,64.18,137.28
248,限时特价活动248,限时特价,27,2025-09-27,2025-10-01,,
249,折扣活动249,折扣,4,2025-10-06,2025-10-19,0.82,
250,买一赠一活动250,买一赠一,23,2025-08-13,2025-08-20,,
251,限时特价活动251,限时特价,14,2025-08-20,2025-08-30,,
252,折扣活动252,折扣,8,2025-09-17,2025-09-27,0.8,
253,折扣活动253,折扣,30,2025-10-05,2025-10-17,0.92,
254,限时特价活动254,限时特价,9,2025-09-06,2025-09-21,,
255,买一赠一活动255,买一赠一,11,2025-09-28,2025-10-13,,
256,买一赠一活动256,买一赠一,27,2025-09-25,2025-09-28,,
257,限时特价活动257,限时特价,24,2025-08-23,2025-08-30,,
258,限时特价活动258,限时特价,28,2025-09-23,2025-09-28,,
259,买一赠一活动259,买一赠一,18,2025-07-30,2025-08-09,,
260,限时特价活动260,限时特价,11,2025-09-14,2025-09-25,,
261,折扣活动261,折扣,15,2025-10-21,2025-10-29,0.95,
262,限时特价活动262,限时特价,8,2025-08-18,2025-08-30,,
263,限时特价活动263,限时特价,8,2025-10-14,2025-10-29,,
264,限时特价活动264,限时特价,2,2025-09-16,2025-09-24,,
265,限时特价活动265,限时特价,23,2025-10-06,2025-10-21,,
266,折扣活动266,折扣,13,2025-09-16,2025-09-29,0.82,
267,买一赠一活动267,买一赠一,2,2025-10-15,2025-10-20,,
268,限时特价活动268,限时特价,28,2025-07-31,2025-08-04,,
269,限时特价活动269,限时特价,4,2025-09-30,2025-10-11,,
270,折扣活动270,折扣,1,2025-09-25,2025-10-09,0.8,
271,满减活动271,满减,21,2025-09-01,2025-09-06,57.56,487.68
272,限时特价活动272,限时特价,11,2025-09-29,2025-10-11,,
273,买一赠一活动273,买一赠一,21,2025-10-03,2025-10-07,,
274,限时特价活动274,限时特价,28,2025-10-07,2025-10-20,,
275,限时特价活动275,限时特价,11,2025-10-12,2025-10-25,,
276,满减活动276,满减,28,2025-09-27,2025-10-08,69.4,193.91
277,折扣活动277,折扣,22,2025-08-01,2025-08-08,0.89,
278,满减活动278,满减,14,2025-08-27,2025-08-31,55.49,377.6
279,满减活动279,满减,29,2025-09-10,2025-09-13,45.95,122.45
280,限时特价活动280,限时特价,12,2025-09-07,2025-09-15,,
281,限时特价活动281,限时特价,5,2025-08-27,2025-09-02,,
282,折扣活动282,折扣,19,2025-10-09,2025-10-22,0.74,
283,限时特价活动283,限时特价,3,2025-08-27,2025-09-08,,
284,折扣活动284,折扣,20,2025-08-22,2025-09-04,0.82,
285,折扣活动285,折扣,19,2025-09-11,2025-09-16,0.82,
286,买一赠一活动286,买一赠一,9,2025-09-01,2025-09-11,,
287,限时特价活动287,限时特价,22,2025-08-01,2025-08-04,,
288,折扣活动288,折扣,29,2025-08-05,2025-08-12,0.72,
289,买一赠一活动289,买一赠一,12,2025-09-04,2025-09-16,,
290,买一赠一活动290,买一赠一,21,2025-10-16,2025-10-25,,
291,折扣活动291,折扣,15,2025-10-19,2025-10-26,0.95,
292,满减活动292,满减,28,2025-10-15,2025-10-25,38.98,328.77
293,买一赠一活动293,买一赠一,19,2025-09-20,2025-09-27,,
294,限时特价活动294,限时特价,1,2025-08-26,2025-09-08,,
295,满减活动295,满减,9,2025-10-05,2025-10-08,92.85,398.07
296,折扣活动296,折扣,27,2025-08-04,2025-08-11,0.85,
297,折扣活动297,折扣,12,2025-09-27,2025-10-03,0.86,
298,折扣活动298,折扣,22,2025-10-05,2025-10-20,0.86,
299,满减活动299,满减,29,2025-09-18,2025-10-01,44.71,276.33
300,折扣活动300,折扣,19,2025-10-10,2025-10-18,0.72,
