rcvkwg_col,irdeit_col,bwwzoz_col,hvdznk_col,mxwddp_col,sihwez_col,lakrin_col
Dm6bwR,614.58,DSnjO8qGiLO6,深圳,3466,8879,8181
438.52,931,深圳,5617,深圳,534.38,7kUC
9713,616.83,1067,Lyms5mT8b,311.26,北京,225.4
kBUiT1T,78.6,北京,741.34,深圳,QuOE,5225
7723,5725,146.54,462.0,7708,hJ2fCw,3738
北京,837.94,4411,874.24,广州,385.46,6220
北京,60.01,376.94,249.73,深圳,杭州,6478
9221,9z0Mw7,9346,7127,jFPP,杭州,554.82
kYqkjXn,mJp,4101,EQAAkbC3,9233,129.25,kJ4cvndbvOod
8772,7858,928.11,深圳,y0c2x,上海,802.54
上海,北京,rsWO,885,q5f,上海,1242
8352,IZ33YOE,naQlzU9Fq9d4,wRiLPrp,北京,3931,VJclKHgf9
广州,上海,1475,JAZjm47M,广州,杭州,广州
240.31,杭州,429,2652,611.63,广州,fDO
eAq2HbbG5L,339,杭州,941.0,bRDYGtLECtu8,5819,5372
esm4R,Au11,vF6jNW,NO0d6rrpM,6645,8885,s8CjYN
31.08,EIXKtHQ4m,759.18,xsL,杭州,001UESIph4,3931
上海,5055,918.73,554.17,2455,K4rW,9128
深圳,Ywhs88YMR,762.07,北京,3564,HPbMDlc,6503
9YB55FIhUfY,上海,上海,515.38,广州,广州,pxaNraIpT
194.78,ZG40uE,5648,zPWCKii,hIgwV6,广州,北京
658,60v,深圳,540.95,杭州,llxJcWCNGnw,801.54
4625,CN0k5cz6c8z7,354.03,870.41,上海,3039,140.57
6886,7456,深圳,广州,6726,深圳,深圳
773.6,572.87,3051,2644,深圳,197.14,PoXPp
4097,7909,深圳,253.33,深圳,上海,4311
深圳,oVoEGpHp9,205.76,北京,3753,218.15,676.36
taCkLrojb9,gzQJ7ld,NjleopaTk,8998,北京,1817,1964
5132,5347,r7PvbBYrf8H,648,416.24,杭州,ntCNmwi
4935,DDCdJV48Ua,4917,cGyl,5134,FOtSPSz,上海
7414,1448,170.64,广州,深圳,4655,479.21
6216,Xzg9LyLA7urJ,n2PEQZn9y2,VxU3f,上海,8317,7601
763.03,广州,435.82,1697,RmeAA3q2luYt,5405,8621
vF3fTXVtQ,上海,广州,8865,JRHzdo1,杭州,JMtw6gjYo
1328,杭州,上海,460.01,上海,866.93,上海
HmQdQt,杭州,深圳,SKAWiilDkQLI,6iGetR3B,广州,bNYOlHreH
262.25,8733,深圳,I7BYUml,DM6vZK2g,上海,368.85
Jkxv,8118,广州,2527,上海,5780,上海
杭州,32.07,杭州,4775,578.62,714.8,488.71
689.87,杭州,深圳,深圳,北京,8394,aAMR2
4101,7566,hI1nMrw,SuNcV,深圳,3f9sf48QIq9O,6412
hI7kgyE,121.83,KphpdI,上海,114.53,xsXRDu7Q2L,WGWc78eI
199.51,210.1,XlBeXD1Qy,广州,深圳,785.88,912.2
Y82pO3UWws,CTi6hXa,2993,5013,666.24,8208,TWIJo9C
7449,Dmw0,上海,567.87,486.78,TJs,北京
678.28,83.43,BwV0smXOp3,518.13,5149,507.65,上海
54.71,x3iSi0jRbd,上海,3577,795.29,9977,1432
cFXj,JD6Gs,4263,1477,349.2,Ory5hugs,深圳
3p1xU,9981,D34aEaPCNEK,6633,774.82,132.39,9XqmKq1
Hea35Zv,深圳,深圳,465.29,6147,690.87,529.38
深圳,pF6dXaNv4h,693.1,深圳,lcTAQxgNY,nc4JFFTJ,杭州
sxfkJIm6A,深圳,Zbj8g2Vq,J0Xm5Q4Ey,gNb2DJ,20.92,L6ZiH
317.86,bgdbK3i8aCs,广州,ZrCrzE2jErVW,3841,北京,9363
fMF4sbnnVsv,YX765C0ECtk,ad5K,48.75,kS5weNEkaT,杭州,43.79
3258,9649,9649,5097,284.61,5755,深圳
qLGf,杭州,716.2,2125,qwF5,qDaw9O2Fvz,XwHCf6i
RVgkwCe6k6,169.11,上海,北京,743.92,SFc0Qoy,4269
375.19,1085,1873,XE5rhCeSjO1,深圳,5499,深圳
OxZwS2l,802,f9a2E,MxW,t9rbC,901.75,486.14
4796,上海,231.89,215.37,4388,580.39,69.31
北京,PsPhxXYBf8,605,I8DaZc,140.17,广州,Y4p0v3
iPmkTXC,深圳,675.47,8934,2749,9887,4063
5093,864.6,RuCHuVs7,962.48,6118,SnP,NZjP
广州,717,h4ONq7,y6HGTx1,573.31,杭州,446.02
339.18,405.62,上海,iFc2uJtnrj,杭州,上海,上海
RZT,742.68,1897,1EpU,QgwV6igFM,dQr9EAWbj,9858
4825,2885,osB8ibUdq,203.79,2541,9120,6ITYiSXja
375.39,dM7C,上海,广州,857.01,3SFlpgDLwYhH,北京
124.16,555.6,vBA3jcgAb8x7,4246,vaFs,Eg3p8i9s5j,302.54
553,7989,杭州,kW11Vh,广州,9184,zSwjwX
5031,杭州,5287,N7ULEU,深圳,f6A7jb,hfh4rs
4071,6775,1385,3295,深圳,va2fuabaUz,mEoqQbm8uf
589.99,aIZCNOAI,4288,2wMT7iP1gYql,3983,2KQFMHm,广州
1793,780.38,sH1As4Fwp,234.64,lu9,2901,zmQgUUnfMUhr
a0r0TnxS4COL,广州,4072,北京,639.65,4659,dKyAa
杭州,395.4,189.42,5352,239.63,GMPonW,广州
Qs0h,上海,4675,871.43,1dLEdbqkqL9K,北京,251.38
439,9502,728.79,501.69,803.32,VTYjDcMT8,杭州
kkbsKUEIHU95,135.17,465.34,深圳,6963,jdjmsc,3722
IgJ41WH,4198,2513,上海,4983,67WAQKrZIr63,lToQK
715.35,3592,深圳,9329,In7mS,153.07,rmYYz8
348.1,杭州,6362,653.17,深圳,上海,6809
杭州,KqX2K4yTrN,北京,232.45,818,8351,dJhUzM2
北京,深圳,深圳,7eBF,深圳,深圳,2435
D8kBDB,489.4,3333,8253,678.76,北京,上海
833.67,238.91,487.25,8972,945.09,2436,6106
杭州,791,IHVAKUdGh7ES,pgR,广州,北京,tg13AO8DW3
628.34,230.14,267.18,深圳,480.64,北京,334.62
8489,深圳,hlONXfFPO,DKw,2XIP,杭州,820.82
7237,5943,上海,5663,3908,9866,3163
5183,北京,9448,5343,2298,4301,深圳
杭州,深圳,2453,kQq623n9NSvb,3231,284.83,1954
772.18,473.78,深圳,深圳,上海,杭州,5407
深圳,tZBM8ZPVy7,3524,469.66,上海,ifpz,375.13
杭州,北京,深圳,广州,杭州,1lYqwsE,680.17
MlDHanFweZAH,589.94,6856,9482,3701,4025,630.47
921.58,杭州,CjC,广州,7050,广州,深圳
深圳,927.13,4349,673.89,OTuAepUnD9X,by2P8iHj6,854.2
389.68,4072,3nLtYmvCsL,9229,Q46kfJ,6646,上海
CHfDXER2Rl,上海,832,上海,220.18,4778,杭州
6GQpSqSO,IKnS,337.15,3021,83NwpfAqH1z,yCGjm,8268
2274,上海,5692,650.45,广州,杭州,北京
209.37,7719,tEOL5x1I,6519,杭州,728.39,MMf80
16.67,3968,8556,uk11e,杭州,9XvFDqV0UTb,深圳
深圳,870.36,EqVWBtkFmIf,8373,W4G5yz,8026,5729
上海,4761,5807,333.54,广州,2077,北京
XqynQG,610.51,QPlKbyx,475.17,9835,2821,442.83
492.39,5192,T3JU8TZaKa9,北京,广州,696.53,t73QaYpLWOj
9284,LCwRngdt,FKtB7,深圳,PQn60,924.27,E67beqm
YaAvEaGpQ,515.38,深圳,广州,3218,6039,83.08
6117,325.73,509.21,2q0lMZiMdRrm,AfzoBm7BmXHp,3WK,7554
北京,2jtl9Aj,KZFnhb2Hx,5627,948.78,5kb,2400
z0hSB86P,4459,3148,4605,4.57,99.08,8328
3e6,819.84,126.35,CQR1a9XBshNU,6031,上海,2906
513.37,上海,9411,248.71,305.86,2670,广州
783.46,1608,2893,536.47,7796,220.13,NLk5Z3fpwJ
472.48,192.3,广州,4128,广州,3020,深圳
7975,uYB0,kbdsxhkqQg2,上海,713.68,774.19,4044
上海,FQBXKCHw,qUJ,6172,北京,rf2ZF,深圳
D8X8cNK1bc,802.6,6NIr3bgUQvG,杭州,上海,uy7m4,北京
上海,9tBnjXG,北京,gefItk,mml4,pXm627GqjS,740.42
TvSPwUe,xesxKKe,PsYl8yC,上海,ITZfFxT09ts,深圳,深圳
上海,杭州,334.4,750.39,2182,4257,zO7fCuNQ55
cudlAppll,5590,tNPI4dnfO,tyP7gzL3k3,804.91,FRZbp2oRVO5,杭州
6778,上海,421.07,7620,HJCxbG,上海,3058
3ERwyN,684.5,526.77,hN1hxnNqjt,北京,6635,N2Y3Bm1R
深圳,H5ApRLCAZB,4693,645.77,34.97,313.52,北京
杭州,bXiiY,398.71,i4zf,6216,7436,437
8826,杭州,上海,r9dfGoaPgrT,601.7,6421,479.26
8373,5475,66.65,u0a,上海,112.67,1480
6538,438.94,深圳,深圳,666.43,5.53,141.71
ZEQb,杭州,499.08,pa9,9658,杭州,424
7248,3864,NgkA63t,1804,tC6uTXp6nq,9953,广州
5027,2825,gXAgp,4341,487.66,2724,北京
78.78,IEjAy,7467,786.53,933.19,北京,广州
490,opuPXxmlTCk,bynNaPfDIEWN,sr5p,721.94,168.08,4540
4g31AWuxA,83.35,263.3,杭州,789.58,4s7eEO,1427
666,d65MF,6501,北京,941.13,429.7,902.09
6267,8400,北京,3188,541.13,上海,广州
3726,333.09,197.95,1144,557.1,HRN8vb,深圳
6243,53.02,上海,上海,201.36,4442,831.42
5444,xymH9q,7pIotFFE,m2lKk,asjXQP,4046,上海
260.02,235.45,9149,AZAxOVzMKE,909.04,45.81,8070
1041,wMpL,杭州,766.6,上海,892.57,492.77
624.64,127.15,上海,1401,3805,912.04,1903
WE6Eu,GZQG,400.35,Cw1VJr5R,xqPwW,广州,5723
KOsXH48J,FrIMTpEA09,5917,xXa,北京,707.51,广州
上海,北京,NWaGrX,杭州,ZzWwNY,2342,3254
3637,深圳,yJVkeaqWrf,1336,广州,2080,784.57
北京,7414,杭州,4745,9057,xPGwo3V0C8,3517
986.83,iVzWvuGQ,广州,XwNgw8CZ,yByMMWe1Kn1,1aXqJ,ousHkjHe
8068,278.59,542.98,7073,927.59,415.2,9224
