uyspcf_col,jxdjtn_col,gqzatk_col,mecrct_col,txhhqn_col,jdhkbr_col,bvcacx_col,mptgyq_col
Ff5W68U,广州,9132,3512,4501,北京,Nj8E,t9HFIm7bRAz
北京,杭州,473.66,MU9Hustxs,gEx,6008,深圳,I3YcSdcldXC0
2lFt1Lwa,hxeHrUdy3xR,165.12,woB6,918,上海,北京,6870
深圳,1062,9166,Oiu4BsWMq,9270,178.73,杭州,h8LwCObEZpf
广州,tdzv,620.89,347.47,175.85,586.47,22.85,ouIccNiW7
8247,NSkNVnV9s,1074,691.86,3769,9788,CGFmas3q9BZ,北京
05fzX,664.25,深圳,北京,606.65,811,深圳,上海
上海,121.85,1774,G7fQglu,4158,Dw4xGspS1Hh,广州,深圳
oVGzsZsqWww,609.47,2883,6834,XwuW2lY1jb,k8JmB,57.05,4264
北京,33,上海,广州,广州,1275,4.82,杭州
4163,1357,4095,1304,D9y,广州,上海,北京
621.41,10.33,hzhx,7475,杭州,9630,上海,2179
436.56,144.39,mT1a,上海,上海,944.2,814.18,G0diUDXc
836.51,5017,716.14,6984,深圳,787.92,1909,HUD9kkFAa
广州,rCK5,uOYou,深圳,515.51,上海,1u2p,ed4iGDr
6300,176.05,上海,2VcdzGr1,ffcZ8lQJuWU,杭州,广州,tz9MTZCXM
55.69,深圳,杭州,kr9vh0B6q9,964.71,9151,791.07,832.15
177.27,V9pMcKN3j,1708,上海,GVmKgnPDwVs,y9izFwA7gdMf,3000,79.13
深圳,449,962.85,4094,297.77,305.32,548.85,6387
472.27,JW8uRVYh1Znd,gZA34,C0gbXPGYnfB5,杭州,3wGc,954.87,385.59
301.29,Cnw,北京,284.97,206.04,上海,6049,7553
深圳,vTrFoFS,3771,深圳,920,6623,ZG1Cq7xsQGo,13.72
深圳,广州,172.62,285.42,广州,TKp,559,上海
0zqT,2013,广州,3ef41T,8402,rxijTP,lgrjzOuZD,981.12
125.31,2999,1088,F0QhxVvi,2972,深圳,FmJmBoKn0H,杭州
32,5691,杭州,370.32,572.08,474.28,6026,22S
874.82,上海,杭州,691.97,zPhk0a1Att,718.0,OkkIp3iQHaUd,584.57
56.35,1IG,4993,162.44,Ue7HuMevEzi9,oscXDsi4c,7347,mC1
1141,4wGeI,nRFM,955.74,TJFOM8,北京,上海,上海
2643,1553,751.01,MytqbuKEIn,aCAv,5686,广州,qG8
mDsb,5021,h2iIBvGNEN43,TkJElIkpbqy,CvBv,CAta9TIh,540.8,mEe
9020,深圳,807.78,WGwBv5,3041,3aoNOiFHSX,31.47,474.46
3pyPEm,北京,7ln4VOB,555,9042,OKXAueGLj,12.27,F123f3g
北京,5989,广州,4161,n4pIagbwt,nCWkyENAT9Wm,5762,深圳
上海,xPB3Al7079EV,M4bW5Lv,上海,9554,杭州,6845,768.47
5841,389.5,mGCmcBNs,236.59,qtkX,2687,深圳,7530
104.21,杭州,312.5,770.96,杭州,深圳,深圳,i60nQNGI
661.78,240.07,VGRni1TB7P,SCywaM2DO,上海,上海,1566,2284
18.16,PAn5M,ZNdWU,91.84,158.61,JjbX3Cei1VB,3717,8648
592.98,深圳,496.66,HyKEdB,576.9,962.31,8833,Xya
广州,574.03,185.88,754.39,北京,广州,8228,glPSPj
北京,北京,2294,北京,650.43,xhueP3,825.99,ZadEACxQv
上海,940.53,3378,112.68,北京,广州,148.4,584.67
3315,575.81,252.79,7iL0iC,WlFrY2nO,801.34,3877,2638
pbJUCk7sB,7460,25.99,SHZ,4431,NvZFJi0GNDZ,551.37,KPzNGmP
8449,7736,北京,88.7,eeT01TNHO,qhNJpJjzTtgG,OfNOg,广州
48.7,twmQZrawAyA,481.16,zOlCpOy,深圳,LUlJb7j34d9P,8649,深圳
8207,7059,上海,广州,深圳,2zVe,2379,BXa6eVEUcJEp
上海,广州,4vfNPG3lEo,777.02,5433,653.43,909.56,深圳
580.73,广州,1472,北京,u5yfv4ow,zOw,564,LoGW0ARhLM3P
7889,10.88,3068,2804,5424,nMo,YPDOs31,杭州
上海,WQF,yD9bbd,754.88,62,8480,杭州,z0I4NrTL
2847,smhV2ocddTk,北京,jbRuynFA,深圳,3056,5081,7728
763.45,404.73,8854,781.87,WPwqi,956.39,461.92,402.05
上海,108.51,535.97,北京,杭州,杭州,34VM,TbAnNZqBRVB
6420,5275,677.76,qfvj,9899,1227,深圳,2158
北京,ckt,8816,杭州,杭州,87,7703,437.35
杭州,53.3,北京,TycrIn9rYFOg,776.0,深圳,LIrVHfdygtKT,3956
4569,广州,3620,广州,杭州,深圳,8236,深圳
杭州,aneSsdmI,294.04,7394,596.79,52.69,8339,5161
北京,HIvgc,23.75,184.08,上海,3893,上海,976.92
23.61,511,418.12,北京,FtbSR7eT,深圳,深圳,上海
北京,4036,953.09,杭州,北京,杭州,Bv0,785.93
2454,x8njhzatU,783.11,923.7,8141,dMGXy5O,北京,深圳
北京,8tG3JXXMM,3146,北京,4413,北京,杭州,524.19
358.38,Mn6lYeY3k,杭州,6187,8287,QvqrBlkqXgSs,ASit8qA,9615
