orrjwv_col,faylkc_col,ujsfrf_col,nxclnw_col,fnuqpz_col,irdhzk_col
9896,9634,北京,广州,北京,hxw
3161,192.76,广州,8559,156.98,72.65
aZU3WH0k,549.67,ModYbxTIAA,yp6ykGL,杭州,北京
广州,smxx,T3F5J9PU9,136.72,170.25,6719
上海,i2QHXCxrBwLH,84.64,上海,广州,75.06
1158,广州,3297,686.79,595.08,0yMMVA
广州,481.04,上海,2026,1258,kPT79y
上海,北京,VJSStrDpZ,5082,7341,XWcGm53E
92.57,RYMM,北京,6508,918.01,xSlaDeAW
杭州,wcaogb6,nnvaILlUA,360.5,7423,uOX
3304,9116,北京,广州,杭州,6n05OhIZ2a1
209,4674,224.62,869,6389,杭州
6304,38.23,656.29,630,AaICd,北京
EhCBYKnKsHz5,861.58,杭州,1358,ukM,41.32
深圳,553.39,ic8QixSD4,8131,8411,上海
2655,广州,6m4m,wIjUWOW1,Dwxs,494
lGJAhpBNb,北京,533.85,85,9741,9732
65.94,373.62,YeD4BXo4Y,杭州,A8C,3817
4qlbesM27P,486.28,gb4y8BfgU7ul,usPg3x,600.34,7245
U76cpKLP3tb,2902,7795,226.18,广州,上海
Kr0E5KfV,zlM6ZgbyLnwk,8273,杭州,517.14,7328
2929,AEqjjEmOhL5A,639,深圳,fRz6cX9pBAy,广州
945,北京,669.72,PCx3NamPH,277.27,xqhV0o
KnxKB,980.63,716.43,kQ6rblrm9,北京,9913
mUrhyoB8fg,382.76,广州,360.55,ITJge5oiv,杭州
上海,uLzEgGE,694.01,557.18,omL,杭州
449.81,y4Vv6QMcFbao,951.9,23.54,深圳,广州
K246kjVjA9,bfF6v,178.3,338.56,杭州,562.39
2005,杭州,上海,216.42,816.9,740
844.65,209.84,4542,7032,8825,3626
sm5DTe2ldD,451.72,GyJvZBTg3c,8z0IQs,2301,2882
110.56,38.22,107.51,awgWttlq5,eH3Ppz,NDnF4TdU
9229,797.94,5960,4416,上海,552.28
wiD,深圳,xSqSDZs,647.24,654,319.43
hXnC,5cedL8f6j,9436,ug642RW,9228,杭州
B7yxA,gGUNZ,5ED6DUB,214.88,28.63,2FJ6Miq
7TXrN8qp,y7HXIN636dA,740.9,900.79,杭州,615.5
Fj35sgfn7,深圳,k38IzvTLG7jI,997.1,广州,XCMI
ZVpHFUkNNw4,376.09,7984,上海,北京,864.12
广州,深圳,72.48,PnmhL7p7eV,nbal,Z4x4km78YoUn
111.36,B53yr7R8,741.18,7465,8043,广州
734.25,北京,北京,thLSOsGbiaZ,广州,573.35
9.31,899.61,CFyyQGsJBmJj,北京,562.59,北京
上海,37.41,杭州,GOd9hOta7pUV,858.53,北京
29.48,LHTIdLh7OMFd,MLKG,394.24,广州,广州
5800,8197,612.19,北京,广州,上海
YwD6fAo,7519,uD8,5984,172,660.4
407,广州,7706,933.41,FGS5Wg,l2a5OVnMCV
3700,wAkE6A6w,484.98,3253,深圳,698.1
486.82,GHRVVmfZ7ue,424.61,76.78,上海,深圳
895.89,6988,杭州,CgUM0,899,1361
6008,3233,广州,深圳,840.58,435.17
北京,95.12,627.9,上海,广州,北京
kkfDnNIRZj,153.71,c2O,2.51,466.72,344.65
9506,gJT,92,506.45,5985,385.16
2184,杭州,fT0M4Pd5OyV1,923.12,4783,549.05
6033,上海,2693,711.42,7RTixK8,2464
705.6,QgrNtpcOc0iE,wc1r,北京,北京,深圳
764.6,杭州,1467,538.33,5330,广州
5OaWNRXWus,1433,8790,2318,touEKHt3TDL4,深圳
lFiDqJzn0,深圳,uW843,深圳,d17WNj7Si,380.52
982.69,杭州,206.91,深圳,2161,493
559.37,深圳,57.77,13.06,1909,广州
3054,杭州,杭州,557.68,522.01,4285
广州,VJlrWLDY,上海,957.1,mIgaVPGSDYOU,L4meRdoKAEIA
878.02,广州,DSnCH,9.76,深圳,aDd
420.31,368.62,8151,YXIV,杭州,2533
15.29,837.2,bDpEfOYE5oz,杭州,22.29,142.33
LsGOEWdVPK8j,116.61,815.8,897.46,OfXmsRy1nvFy,OtU8wBxsw
yKm7SZiWn,893.31,8606,6376,219.78,3903
924.26,658.43,jUaaK6,上海,深圳,北京
上海,iE1,8214,上海,广州,HWzgbUs
广州,6630,155.51,杭州,广州,2wLpbPs7
8126,上海,ciaArU,深圳,ZYY1f88Haob,9793
cZWf5h4uTxQ,154.93,北京,124,杭州,EEZXHx
广州,4837,杭州,870.08,上海,996.21
8487,6772,广州,深圳,杭州,广州
GIV,上海,深圳,96.07,388.17,5818
255.01,887.72,NlsfdF,gvsBa85r5rYO,409.75,广州
357.06,374.94,q6KtqBM6,4629,4840,北京
广州,NsMrwcNmohrQ,515.19,ZO5q,349.24,8KF
On8dYUog,quUW,7181,杭州,6315,nYPvVuwj
