ggcwha_col,qbtiwp_col,bxapvl_col,vkdvlk_col,eozdaj_col
深圳,547.27,杭州,796.58,q7byC
921.09,Gf6jY2I,xVo9G80MJvoZ,855.73,818.75
杭州,ys91,785.12,679.35,5640
938.27,777.66,790.03,1997,567.66
4fWV9sd2olsu,广州,北京,7470,杭州
uZFhwzm0,RUK25Qp,4739,2N2kohhgHC,9106
bSnwYE6i,深圳,上海,7244,深圳
2811,ldyBi,3261,7932,5152
5989,mmT,Dh4,杭州,wCpITYL3i
93,IB0,6331,763.05,深圳
深圳,pinfriky83M,杭州,474.83,广州
47.16,299.85,329.2,广州,ADT3wS
6812,5973,88.31,5739,9355
7775,2eoH1Dgu,829.53,ZoVktXaVs6,203.77
1uxcWtpfu,p3U,i2IdXQAEj,TuPDK32,O4ZKPyn8
131.33,上海,上海,深圳,96.08
PCxAAr2lHx,834.69,北京,736.33,995.75
上海,189.0,杭州,2396,上海
AzWmtOTxypN,509.18,BW0goI,uQ5Izwh3ok5a,11.66
A1m,深圳,北京,9854,4755
杭州,上海,广州,h0ulv,5760
YGlF,3147,北京,3761,lil
284.83,124.9,上海,广州,nohhFH
杭州,3402,696.66,814.49,深圳
kT3ErRAPQHaG,64.13,B3gYXF,lpN,7X25ak
292.01,634.11,6752,上海,上海
深圳,广州,273.62,KgYl,杭州
781.68,2839,QpJ,804.24,91.95
深圳,319.96,333.1,上海,上海
xWFIXZ,上海,355,3698,928
790.36,480.86,777.69,深圳,深圳
深圳,euX4,379.58,深圳,bFNbRXimuEO
0s8UZvjbdi,waA,上海,广州,doywLXk
RCPR,北京,233,E8GUE2HyZzYq,北京
深圳,cNflEN2,534.31,fpQkzCbgffAx,695.07
深圳,5768,北京,XA1h2F2c,545.54
213.74,i96xab,广州,hQA9GZChlu,vl1ySK1
308.25,9458,675.37,7588,625.72
